pole,eq_lon90,eq_lon135,eq_lon180
2.19923814674209e-06,1.4708462453107e-06,9.13776927085964e-07,6.79398675212414e-07
2.19119743978846e-06,1.46985518250244e-06,9.12883074054382e-07,6.81285648150198e-07
2.18315673283483e-06,1.46886411969417e-06,9.119892210228e-07,6.83172621087981e-07
2.1751160258812e-06,1.4678730568859e-06,9.11095367991218e-07,6.85059594025764e-07
2.16707531892757e-06,1.46688199407764e-06,9.10201514959636e-07,6.86946566963547e-07
2.15903461197394e-06,1.46589093126937e-06,9.09307661928053e-07,6.88833539901331e-07
2.15099390502031e-06,1.46489986846111e-06,9.08413808896471e-07,6.90720512839114e-07
2.14346749892602e-06,1.46367173028602e-06,9.07424345851621e-07,6.92200790403816e-07
2.13594109283172e-06,1.46244359211093e-06,9.0643488280677e-07,6.93681067968518e-07
2.12841468673743e-06,1.46121545393584e-06,9.05445419761919e-07,6.95161345533221e-07
2.12088828064314e-06,1.45998731576075e-06,9.04455956717068e-07,6.96641623097923e-07
2.11336187454884e-06,1.45875917758565e-06,9.03466493672217e-07,6.98121900662625e-07
2.10583546845455e-06,1.45753103941056e-06,9.02477030627367e-07,6.99602178227327e-07
2.09830906236026e-06,1.45630290123547e-06,9.01487567582516e-07,7.01082455792029e-07
2.09078265626596e-06,1.45507476306038e-06,9.00498104537665e-07,7.02562733356732e-07
2.08325625017167e-06,1.45384662488529e-06,8.99508641492814e-07,7.04043010921434e-07
2.07572984407738e-06,1.4526184867102e-06,8.98519178447963e-07,7.05523288486136e-07
2.06866310124733e-06,1.45116183411711e-06,8.97428845356339e-07,7.06617962207586e-07
2.06159635841729e-06,1.44970518152401e-06,8.96338512264714e-07,7.07712635929035e-07
2.05452961558724e-06,1.44824852893092e-06,8.95248179173089e-07,7.08807309650485e-07
2.04746287275719e-06,1.44679187633782e-06,8.94157846081464e-07,7.09901983371934e-07
2.04039612992715e-06,1.44533522374472e-06,8.9306751298984e-07,7.10996657093384e-07
2.0333293870971e-06,1.44387857115163e-06,8.91977179898215e-07,7.12091330814834e-07
2.02626264426705e-06,1.44242191855853e-06,8.9088684680659e-07,7.13186004536283e-07
2.01919590143701e-06,1.44096526596544e-06,8.89796513714965e-07,7.14280678257733e-07
2.01212915860696e-06,1.43950861337234e-06,8.8870618062334e-07,7.15375351979182e-07
2.00506241577691e-06,1.43805196077925e-06,8.87615847531716e-07,7.16470025700632e-07
1.99840769453355e-06,1.43637882459265e-06,8.86424334493886e-07,7.17203598370938e-07
